"Registered Political Party - English","Registered Political Party - French","Abbreviation - English","Abbreviation - French","Registration Date","President","Leader","Address","Phone","Fax","Email","Web Address","Association Electoral District",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","015 - Burlington",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","016 - Cambridge",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","017 - Carleton",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","018 - Chatham-Kent—Leamington",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","019 - Davenport",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","020 - Don Valley East",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","021 - Don Valley North",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","022 - Don Valley West",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","023 - Dufferin—Caledon",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","024 - Durham",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","025 - Eglinton—Lawrence",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","026 - Elgin—Middlesex—London",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","027 - Essex",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","028 - Etobicoke Centre",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","029 - Etobicoke—Lakeshore",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","030 - Etobicoke North",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","031 - Flamborough—Glanbrook",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","032 - Glengarry—Prescott—Russell",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","033 - Guelph",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","034 - Haldimand—Norfolk",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","035 - Haliburton—Kawartha Lakes—Brock",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","036 - Hamilton Centre",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","037 - Hamilton East—Stoney Creek",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","038 - Hamilton Mountain",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","039 - Hamilton West—Ancaster—Dundas",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","040 - Hastings—Lennox and Addington",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","042 - Huron—Bruce",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","043 - Kanata—Carleton",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","044 - Kenora—Rainy River",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","045 - King—Vaughan",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","046 - Kingston and the Islands",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","047 - Kitchener Centre",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","048 - Kitchener—Conestoga",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","049 - Kitchener South—Hespeler",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","050 - Lambton—Kent—Middlesex",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","051 - Lanark—Frontenac—Kingston",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","052 - Leeds—Grenville—Thousand Islands and Rideau Lakes",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","053 - London—Fanshawe",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","054 - London North Centre",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","055 - London West",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","056 - Markham—Stouffville",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","057 - Markham—Thornhill",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","058 - Markham—Unionville",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","059 - Milton",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","060 - Mississauga Centre",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","061 - Mississauga East—Cooksville",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","062 - Mississauga—Erin Mills",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","063 - Mississauga—Lakeshore",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","064 - Mississauga—Malton",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","065 - Mississauga—Streetsville",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","066 - Nepean",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","067 - Newmarket—Aurora",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","068 - Niagara Centre",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","069 - Niagara Falls",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","070 - Niagara West",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","071 - Nickel Belt",
